location,date,total_cases,new_cases,total_deaths
India,2020-03-01,3,3,0
India,2020-04-01,1637,160,38
India,2020-05-01,35043,1993,1147
India,2020-06-01,190535,8392,5394
India,2020-07-01,585493,18653,17400
India,2020-08-01,1695988,54535,36511
India,2020-09-01,3691166,78168,65288
India,2020-10-01,6312584,81984,98678
India,2020-11-01,8184082,46182,122111
India,2020-12-01,9462809,31118,137621
United States,2020-03-01,75,20,1
United States,2020-04-01,213372,24000,4757
United States,2020-05-01,1103461,30000,65000
United States,2020-06-01,1794560,21000,104000
United States,2020-07-01,2687588,45000,128000
United States,2020-08-01,4620000,60000,155000
United States,2020-09-01,6114406,40000,185000
United States,2020-10-01,7273210,42000,207000
United States,2020-11-01,9162300,70000,230000
United States,2020-12-01,13700000,100000,270000